time,rho,temperature,power,Tran,Shim1,Shim2,Reg
0.05,-750.5146318748818,20,2.0138232604534085e-06,0,0,0,0
0.1,-750.5146318748818,20.000000000000004,2.01355696508399e-06,0,0,0,0
0.15000000000000002,-750.5146318748818,20.000000000000007,2.013522297871989e-06,0,0,0,0
0.2,-750.5146318748818,20.00000000000001,2.0134925124660653e-06,0,0,0,0
0.25,-748.8689944688191,20.000000000000014,2.017321138410982e-06,0,12.0,0,0
0.3,-745.4186539836214,20.000000000000018,2.0254903494492374e-06,0,24.0,12.0,0
0.35,-739.5243595440406,20.00000000000002,2.03965290878969e-06,0,36.0,24.0,12.0
0.39999999999999997,-733.1866970106244,20.000000000000025,2.0552060397057443e-06,0,48.0,36.0,24.0
0.44999999999999996,-726.3981394357834,20.00000000000003,2.072159848857185e-06,0,60.0,48.0,36.0
0.49999999999999994,-719.1524328713546,20.000000000000032,2.090593469233501e-06,0,72.0,60.0,48.0
0.5499999999999999,-711.4446148074093,20.000000000000036,2.1105920579285e-06,0,84.0,72.0,60.0
0.6,-703.2710287924323,20.00000000000004,2.1322465249919627e-06,0,96.0,84.0,72.0
0.65,-694.6293351902341,20.000000000000043,2.1556542114142258e-06,0,108.0,96.0,84.0
0.7000000000000001,-685.5185180407634,20.000000000000046,2.180919655226796e-06,0,120.0,108.0,96.0
0.7500000000000001,-675.9388880038915,20.00000000000005,2.20815544402456e-06,0,132.0,120.0,108.0
0.8000000000000002,-665.8920813772219,20.000000000000053,2.237483166233665e-06,0,144.0,132.0,120.0
0.8500000000000002,-655.3810551909706,20.000000000000057,2.2690344758057393e-06,0,156.0,144.0,132.0
0.9000000000000002,-644.4100783949634,20.00000000000006,2.3029522876076314e-06,0,168.0,156.0,144.0
0.9500000000000003,-632.9847191647359,20.000000000000064,2.3393921238557e-06,0,180.0,168.0,156.0
1.0000000000000002,-621.1118283655883,20.000000000000068,2.3785236356293493e-06,0,192.0,180.0,168.0
1.0500000000000003,-608.7995192251831,20.00000000000007,2.420532327930209e-06,0,204.0,192.0,180.0
1.1000000000000003,-608.7995192251831,20.000000000000075,2.4219270712488613e-06,0,204.0,192.0,180.0
1.1500000000000004,-608.7995192251831,20.000000000000078,2.4226138357736987e-06,0,204.0,192.0,180.0
1.2000000000000004,-608.7995192251831,20.00000000000008,2.4232597281151217e-06,0,204.0,192.0,180.0
1.2500000000000004,-604.0678825421646,20.000000000000085,2.439934381050566e-06,0,216.0,192.0,180.0
1.3000000000000005,-599.1694283140151,20.00000000000009,2.457693033207972e-06,0,228.0,192.0,180.0
1.3500000000000005,-594.1095754013583,20.000000000000092,2.4762996721705933e-06,0,240.0,192.0,180.0
1.4000000000000006,-588.8942811254606,20.000000000000096,2.4957620004247723e-06,0,252.0,192.0,180.0
1.4500000000000006,-583.5300213933297,20.0000000000001,2.516090687866774e-06,0,264.0,192.0,180.0
1.5000000000000007,-583.5300213933297,20.000000000000103,2.5171573666946855e-06,0,264.0,192.0,180.0
1.5500000000000007,-583.5300213933297,20.000000000000107,2.517864717446866e-06,0,264.0,192.0,180.0
1.6000000000000008,-578.0237690926989,20.00000000000011,2.538689904363678e-06,0,276.0,192.0,180.0
1.6500000000000008,-572.3829708289776,20.000000000000114,2.560734699717368e-06,0,288.0,192.0,180.0
1.7000000000000008,-566.6155220817777,20.000000000000117,2.5836794610030432e-06,0,300.0,192.0,180.0
1.7500000000000009,-560.7297408638997,20.00000000000012,2.6075234045129147e-06,0,312.0,192.0,180.0
1.800000000000001,-560.7297408638997,20.000000000000124,2.6087490884122406e-06,0,312.0,192.0,180.0
1.850000000000001,-560.7297408638997,20.000000000000128,2.6095431213418792e-06,0,312.0,192.0,180.0
1.900000000000001,-554.7343399706568,20.00000000000013,2.633837949496302e-06,0,324.0,192.0,180.0
1.950000000000001,-548.6383979121207,20.000000000000135,2.659443096840584e-06,0,336.0,192.0,180.0
2.000000000000001,-542.4513286252637,20.00000000000014,2.685962058067247e-06,0,348.0,192.0,180.0
2.0500000000000007,-536.1828500670449,20.000000000000142,2.7133847711565614e-06,0,360.0,192.0,180.0
2.1000000000000005,-529.842951793221,20.000000000000146,2.741705909129345e-06,0,372.0,192.0,180.0
2.1500000000000004,-529.842951793221,20.00000000000015,2.743207367482039e-06,0,372.0,192.0,180.0
2.2,-529.842951793221,20.000000000000153,2.744174090490629e-06,0,372.0,192.0,180.0
2.25,-529.842951793221,20.000000000000156,2.7450999639395287e-06,0,372.0,192.0,180.0
2.3,-529.842951793221,20.00000000000016,2.745996448418342e-06,0,372.0,192.0,180.0
2.3499999999999996,-529.842951793221,20.000000000000163,2.7468657577579807e-06,0,372.0,192.0,180.0
2.3999999999999995,-529.842951793221,20.000000000000167,2.747709731919473e-06,0,372.0,192.0,180.0
2.4499999999999993,-529.842951793221,20.00000000000017,2.7485300263009507e-06,0,372.0,192.0,180.0
2.499999999999999,-529.842951793221,20.000000000000174,2.7493281357948224e-06,0,372.0,192.0,180.0
2.549999999999999,-529.842951793221,20.000000000000178,2.750105413217614e-06,0,372.0,192.0,180.0
2.5999999999999988,-529.842951793221,20.00000000000018,2.750863085419928e-06,0,372.0,192.0,180.0
