time,rho,temperature,power,Tran,Shim1,Shim2,Reg
0.05,-749.7579775378337,20,2.434903331556711e-07,0,0,0,0
0.1,-749.7579775368902,20.0,2.1510991551029866e-07,0,0,0,0
0.15000000000000002,-749.7579775368752,20.0,2.1141486267780642e-07,0,0,0,0
0.2,-749.7579775368732,20.0,2.0824038115053678e-07,0,0,0,0
0.25,-749.7579775368715,20.0,2.0523332417681623e-07,0,0,0,0
0.3,-749.7579775368699,20.0,2.0237402441129256e-07,0,0,0,0
0.35,-749.7579775368685,20.0,1.9964913360118393e-07,0,0,0,0
0.39999999999999997,-749.757977536867,20.0,1.9704686077018734e-07,0,0,0,0
0.44999999999999996,-749.7579775368656,20.0,1.945567259141441e-07,0,0,0,0
0.49999999999999994,-749.7579775368642,20.0,1.9216939943093656e-07,0,0,0,0
0.5499999999999999,-749.757977536863,20.0,1.8987656265504004e-07,0,0,0,0
0.6,-749.7579775368619,20.0,1.8767078603233287e-07,0,0,0,0
0.65,-749.7579775368606,20.0,1.855454226550213e-07,0,0,0,0
0.7000000000000001,-749.7579775368596,20.0,1.8349451518233007e-07,0,0,0,0
0.7500000000000001,-749.7579775368584,20.0,1.8151271442855872e-07,0,0,0,0
0.8000000000000002,-749.7579775368574,20.0,1.7959520812263846e-07,0,0,0,0
0.8500000000000002,-749.7579775368564,20.0,1.7773765853693654e-07,0,0,0,0
0.9000000000000002,-747.8828669594851,20.0,1.7632059296669484e-07,12.0,0,0,0
0.9500000000000003,-745.8263978656832,20.0,1.7499324061776207e-07,24.0,0,0,0
1.0000000000000002,-743.5840168388219,20.0,1.7374824048169096e-07,36.0,0,0,0
1.0500000000000003,-741.151831439909,20.0,1.7258322717694776e-07,48.0,0,0,0
1.1000000000000003,-738.526624046481,20.0,1.7149609031680943e-07,60.0,0,0,0
1.1500000000000004,-735.7058632923013,20.0,1.7048488285521224e-07,72.0,0,0,0
1.2000000000000004,-732.6877130671941,20.0,1.6954779735400266e-07,84.0,0,0,0
1.2500000000000004,-732.6877130671935,20.0,1.680394357437726e-07,84.0,0,0,0
1.3000000000000005,-732.6877130671927,20.0,1.6655792429331932e-07,84.0,0,0,0
1.3500000000000005,-732.6877130671919,20.0,1.6511006088970737e-07,84.0,0,0,0
1.4000000000000006,-731.0420756611285,20.0,1.64014578766525e-07,84.0,12.0,0,0
1.4500000000000006,-729.2297559172781,20.0,1.629831909558987e-07,84.0,24.0,0,0
1.5000000000000007,-727.2458766894285,20.0,1.6201118669944798e-07,84.0,36.0,0,0
1.5500000000000007,-725.086133190618,20.0,1.6109791549878423e-07,84.0,48.0,0,0
1.6000000000000008,-722.7468073548284,20.0,1.6024281018657143e-07,84.0,60.0,0,0
1.6500000000000008,-720.2247802412504,20.0,1.5944532447298396e-07,84.0,72.0,0,0
1.7000000000000008,-720.22478024125,20.0,1.581875613214363e-07,84.0,72.0,0,0
1.7500000000000009,-720.2247802412494,20.0,1.5694671314210044e-07,84.0,72.0,0,0
1.800000000000001,-718.5867594999008,20.0,1.5603655404582129e-07,84.0,72.0,12.0,0
1.850000000000001,-716.8116861492599,20.0,1.551758518166982e-07,84.0,72.0,24.0,0
1.900000000000001,-714.8968499732573,20.0,1.5436015261334416e-07,84.0,72.0,36.0,0
1.950000000000001,-712.8399645850286,20.0,1.5358899155104894e-07,84.0,72.0,48.0,0
2.000000000000001,-710.6391743603568,20.0,1.5286195751496452e-07,84.0,72.0,60.0,0
2.0500000000000007,-708.2930600648324,20.0,1.5217863407851733e-07,84.0,72.0,72.0,0
2.1000000000000005,-705.8006431576651,20.0,1.5153859660244632e-07,84.0,72.0,84.0,0
2.1500000000000004,-705.8006431576647,20.0,1.504532304731044e-07,84.0,72.0,84.0,0
2.2,-705.8006431576642,20.0,1.4937861011047471e-07,84.0,72.0,84.0,0
2.25,-705.8006431576636,20.0,1.4832091679370487e-07,84.0,72.0,84.0,0
2.3,-703.6653012965718,20.0,1.4766615564013668e-07,84.0,72.0,84.0,12.0
2.3499999999999996,-701.4022184379672,20.0,1.4705373636894403e-07,84.0,72.0,84.0,24.0
2.3999999999999995,-699.0098720871433,20.0,1.4647821356759675e-07,84.0,72.0,84.0,36.0
2.4499999999999993,-696.486982860963,20.0,1.4593935979142296e-07,84.0,72.0,84.0,48.0
2.499999999999999,-693.8325168940514,20.0,1.4543703145432691e-07,84.0,72.0,84.0,60.0
2.549999999999999,-691.0456877832308,20.0,1.4497109273992446e-07,84.0,72.0,84.0,72.0
2.5999999999999988,-688.125958066546,20.0,1.4454141394576484e-07,84.0,72.0,84.0,84.0
2.6499999999999986,-685.073040234091,20.0,1.4414787095222232e-07,84.0,72.0,84.0,96.0
2.6999999999999984,-681.8868972687422,20.0,1.437903447222117e-07,84.0,72.0,84.0,108.0
2.7499999999999982,-678.5677427157788,20.0,1.4346872080402942e-07,84.0,72.0,84.0,120.0
2.799999999999998,-675.1160402812574,20.0,1.431828888264255e-07,84.0,72.0,84.0,132.0
2.849999999999998,-671.5325029599011,20.0,1.4293274197615599e-07,84.0,72.0,84.0,144.0
2.8999999999999977,-667.8180916941371,20.0,1.427181764490544e-07,84.0,72.0,84.0,156.0
2.9499999999999975,-663.9740135668113,20.0,1.425390908663413e-07,84.0,72.0,84.0,168.0
2.9999999999999973,-660.001719530973,20.0,1.4239538564847696e-07,84.0,72.0,84.0,180.0
3.049999999999997,-655.902901681004,20.0,1.4228696233937048e-07,84.0,72.0,84.0,192.0
3.099999999999997,-651.6794900702217,20.0,1.4221372287419634e-07,84.0,72.0,84.0,204.0
